0 qid:730 1:0.4444444444444444 2:0.4444444444444444 3:0.0015432098765432098 4:1 5:0.003472222222222222 6:0 7:0 8:0 9:0.0 10:6.559531914575225 11:0.0625 #-CC7YvTH0_0
1 qid:9732 1:1.0 2:1.0 3:0.004545454545454546 4:1 5:0.004545454545454546 6:1 7:1.1561628282901595 8:1 9:1.1561628282901595 10:6.257251042702292 11:0.045454545454545456 #ov2BzWMiq3A
1 qid:1469 1:1.0 2:1.0 3:0.0030303030303030307 4:1 5:0.0030303030303030307 6:1 7:1.1561628282901595 8:1 9:1.1561628282901595 10:6.257251042702292 11:0.045454545454545456 #ov2BzWMiq3A
0 qid:10405 1:0.8 2:0.8 3:0.0012903225806451613 4:1 5:0.0016129032258064516 6:0 7:0 8:0 9:0.0 10:5.927009355831715 11:0.03225806451612903 #ov2BzWMiq3A
0 qid:23214 1:0.6 2:0.6 3:0.006 4:1 5:0.010000000000000002 6:0 7:0 8:0 9:0.0 10:7.783307346197341 11:0.25 #ov2BzWMiq3A
0 qid:1509 1:0.10526315789473684 2:0.10526315789473684 3:2.9785839811753492e-05 4:1 5:0.0002829654782116582 6:0 7:0 8:0 9:0.0 10:4.8494504763614374 11:0.010752688172043012 #fRbXImdo3Nc
0 qid:1736 1:0.10526315789473684 2:0.10526315789473684 3:0.0006155740227762387 4:1 5:0.005847953216374269 6:0 7:0 8:0 9:0.0 10:8.00645089751155 11:0.3333333333333333 #fRbXImdo3Nc
0 qid:5512 1:0.10526315789473684 2:0.10526315789473684 3:0.00015829046299960426 4:1 5:0.0015037593984962407 6:0 7:0 8:0 9:0.0 10:7.313303716951605 11:0.14285714285714285 #fRbXImdo3Nc
0 qid:18091 1:0.10526315789473684 2:0.10526315789473684 3:0.0006925207756232686 4:1 5:0.006578947368421052 6:0 7:0 8:0 9:0.0 10:8.294132969963332 11:0.5 #fRbXImdo3Nc
0 qid:4291 1:0.046511627906976744 2:0.046511627906976744 3:6.009254251547383e-06 4:1 5:0.00012919896640826872 6:0 7:0 8:0 9:0.0 10:6.448306279465001 11:0.05555555555555555 #fRbXImdo3Nc
0 qid:4292 1:0.046511627906976744 2:0.046511627906976744 3:7.5640962606890136e-06 4:1 5:0.0001626280696048138 6:0 7:0 8:0 9:0.0 10:6.753687929016182 11:0.07692307692307693 #fRbXImdo3Nc
